site_id,area_ha,transmission_110kv_plus_m,subtransmission_33_66kv_m,distribution_22kv_m,road_m,subtransmission_33_66kv_rank,road_rank,subtransmission_33_66kv_road_rank_shift,mean_slope_deg,water_m,coastline_m,S08_slope_pass,S09_water_pass,S10_coastal_flag,latitude,longitude,basemaps_url,reviewed_on,reviewer,imagery,zoom_level,evidence_image,observed_detail,developable,finding
OSM-1098809630,24.5,11649.5,8173.5,4.9,2.0,2253,61,2192,0.88,2384.2,5669.8,True,True,False,-43.850156,172.184538,"https://basemaps.linz.govt.nz/@-43.850156,172.184538,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098809630.jpg,"Flat paddock grid with dark shelterbelts; the farmstead and its buildings are about 500 m north-west of the marker, and the frame is bounded by a braided riverbed in the south-west and a second channel in the east.",yes,Flat improved pasture in the same block of plains farmland. A genuine candidate.
OSM-1099340129,31.1,8665.2,7717.2,0.0,1.8,2232,57,2175,0.8,5.9,7942.3,True,True,False,-43.831764,172.164002,"https://basemaps.linz.govt.nz/@-43.831764,172.164002,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1099340129.jpg,"Marker sits on a terrace of regular green paddocks with dark shelterbelt strips running north-east; a farmstead sits about 300 m west, an active shingle channel about 500 m north, and the main braided riverbed fills the south-west corner.",yes,Improved pasture on a terrace above a braided river. Flat and regular; a genuine candidate.
OSM-1107584568,37.3,19821.8,8677.7,82.0,3.4,2272,99,2173,1.07,24.6,729.6,True,True,True,-43.846607,172.365856,"https://basemaps.linz.govt.nz/@-43.846607,172.365856,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1107584568.jpg,Marker is within about 100 m of the lake edge on a low brown wetland promontory with standing water and channels visible in the polygon; the open lake fills the eastern half of the frame and a lake outlet cuts the barrier to the south-east.,no,Western margin of the lagoon. Low-lying wetland fringe at the lake edge. Not developable.
OSM-1106893534,31.7,22266.7,11953.1,13.3,4.8,2345,174,2171,1.21,0.0,1068.3,True,False,False,-43.832435,172.503542,"https://basemaps.linz.govt.nz/@-43.832435,172.503542,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893534.jpg,"A pale sand island sits in the lagoon about 800 m north-west; the marker is on flat grey barrier ground between the dark lagoon shoreline and a block of bright green paddocks immediately south, with the ocean surf line along the bottom of the frame.",no,Kaitorete Spit. Lagoon-margin ground north of the improved paddocks; same barrier landform as the other spit polygons.
OSM-1106151300,29.4,30055.7,11255.0,88.4,4.8,2339,174,2165,13.88,1946.5,378.6,False,True,True,-43.674104,173.042847,"https://basemaps.linz.govt.nz/@-43.674104,173.042847,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106151300.jpg,"Marker is on a mid-slope bench with shadowed gullies on three sides; cliffed shoreline with small rock stacks lies about 700 m east, and a tombolo-like sand neck and beach sit to the north. Relief across the frame is several hundred metres.",no,Banks Peninsula. Steep coastal headland with cliffed shoreline and gullied faces. Slope rules it out.
OSM-1098842536,40.0,13538.6,8585.5,0.0,3.5,2267,103,2164,1.17,1703.7,3604.7,True,True,False,-43.866086,172.196513,"https://basemaps.linz.govt.nz/@-43.866086,172.196513,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098842536.jpg,"Flat improved paddocks with regular north-south shelterbelts; a farmstead with a small tan yard sits about 400 m south, the braided riverbed with wide white shingle fills the western third of the frame and a second channel runs down the east.",yes,Flat improved pasture on the plains between a braided river and a smaller channel. A genuine candidate.
OSM-1106081270,109.8,34343.3,7775.1,1008.0,2.7,2237,74,2163,23.58,1005.3,1625.6,False,True,False,-43.7382,173.063114,"https://basemaps.linz.govt.nz/@-43.7382,173.063114,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106081270.jpg,"Marker is on a hill-pasture spur with dark scrub-filled gullies immediately north and south; the ground falls away east to a bay with a beach and settlement about 1.8 km distant, and the whole frame is ridge-and-gully with strong shadowing.",no,Banks Peninsula. Ridge-and-gully hill pasture above a bay. Large in hectares but the terrain is entirely unsuitable.
OSM-1098809641,22.8,11122.6,8654.4,0.0,3.6,2271,109,2162,0.68,1915.4,6178.1,True,True,False,-43.84444,172.186665,"https://basemaps.linz.govt.nz/@-43.84444,172.186665,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098809641.jpg,"Marker sits just east of a farmstead and its yard buildings, in flat regular paddocks; an active braided channel runs about 800 m east and the main braided riverbed is in the south-west corner of the frame.",yes,Flat improved pasture beside farm buildings on the plains. A genuine candidate.
OSM-1106169049,28.8,37113.8,10043.1,0.0,4.4,2312,151,2161,3.47,0.0,401.0,True,False,True,-43.746267,173.089986,"https://basemaps.linz.govt.nz/@-43.746267,173.089986,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106169049.jpg,"Marker is on the valley floor about 800 m inland of a beach, beside a line of trees and a track; the settlement is between it and the shore, and steep dark slopes close in on both sides within a few hundred metres.",no,"Banks Peninsula. Bay-head valley floor beside a settlement, enclosed by steep slopes. Not a candidate."
OSM-1098936394,48.2,10126.1,8651.3,1.1,3.7,2270,114,2156,0.79,1459.7,6825.9,True,True,False,-43.836767,172.18427,"https://basemaps.linz.govt.nz/@-43.836767,172.18427,z16",2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098936394.jpg,"Marker sits on a flat river terrace of large regular paddocks, about 300 m south-west of the braided channel edge; the farmstead and shelterbelt block lie about 1 km south, and the main braided riverbed is in the south-west corner.",yes,Improved pasture on a river terrace on the plains. A genuine candidate.
